"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",1,2011-01-01,1.5,4,0.119831959039838,0.172850818959502,0.238852107973195,0.12365330716731,0.179373986752847,0.247223739484341,0.134858103758683,0.220545456252055,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0526198844633386,0.050317579896114,0.0967351766454262,TRUE,0.425543688792251,0.280517709434896,0.391285953554445
"EZ",1,2011-01-01,1.5,5,0.0311533608107288,0.0546325327321154,0.128418928578301,0.0324043583771451,0.0571936201056027,0.133938960771301,0.0370403979819009,0.077047270513028,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.00529660222652457,0.0052031924437781,0.0207052574842994,TRUE,0.163453389969304,0.090975049912401,0.154587263967602
"EZ",2,2011-02-01,1.5,4,0.129403249875499,0.19205404001135,0.263865687363993,0.13339724847232,0.198983285637583,0.272630826677162,0.145118408491203,0.242739843796137,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0557526251773845,0.0556985746157111,0.105427242543374,TRUE,0.417944341550292,0.279915845379884,0.386703308016657
"EZ",2,2011-02-01,1.5,5,0.0325331119870464,0.0603800318770827,0.144433047483674,0.033821318583217,0.0631441383710802,0.15040566625989,0.0385703328497895,0.0843727749910104,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.00544380935688264,0.00578619341981619,0.0235545575386213,TRUE,0.160957927866952,0.0916346880182667,0.156606849491433
"EZ",3,2011-03-01,1.5,4,0.138801038906912,0.1930149014922,0.26424072891968,0.143227212097045,0.200225453431152,0.273391169325631,0.156149023614955,0.244438933211609,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.0615591588557922,0.0590933150515401,0.112185612319079,TRUE,0.429800719810719,0.29513388052763,0.410348339325683
"EZ",3,2011-03-01,1.5,5,0.0415337221871403,0.0629935649916145,0.138642176626125,0.0431853970373344,0.0659341498291094,0.144578107208375,0.0492168953983607,0.088037339236187,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.00742792966345259,0.00617915244586399,0.0225761512233556,TRUE,0.172000958032898,0.0937170261826284,0.156151935166902
"EZ",4,2011-04-01,1.5,4,0.140742329454311,0.194653532615996,0.27090956179026,0.145203129585429,0.201880886176511,0.280145119875629,0.158087565699632,0.24512835483785,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0646556341832182,0.0629935466031206,0.122385266253091,TRUE,0.445277139465362,0.312033237995811,0.43686381653703
"EZ",4,2011-04-01,1.5,5,0.042294407741087,0.0619852135738696,0.136559037750004,0.0439741192847469,0.0648800428111754,0.142391281688578,0.0500357607710006,0.0862462257222782,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.00776933545361114,0.00620779546486152,0.022709391718586,TRUE,0.176679728439861,0.0956811246707784,0.159485829815434
"EZ",5,2011-05-01,1.5,4,0.122474649319286,0.172958412728861,0.251825556065754,0.126299575658938,0.179382355967422,0.260276895661426,0.137232000880649,0.217390830815024,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0596163841049225,0.0584511037658968,0.120905048261229,TRUE,0.472023629484803,0.325846449338152,0.464524705329609
"EZ",5,2011-05-01,1.5,5,0.0316565919941166,0.0505102681544954,0.119669887231396,0.0329211017215028,0.0528826965800494,0.124788949557182,0.0374791262158136,0.0704317045321287,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.00574582314788827,0.0050266317362409,0.0203354657256937,TRUE,0.174533136724744,0.0950524852421624,0.162958866132416
